2019-04-02T11:35:16.755+0800 I COMMAND  [conn8] command note.js_modules command: insert { insert: "js_modules", writeConcern: { getLastError: 1, w: 1 }, ordered: false, $db: "note" } ninserted:2 keysInserted:2 numYields:0 reslen:60 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 1931917 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 1934ms
2019-04-02T11:35:16.756+0800 I COMMAND  [conn9] command note.records_modules command: insert { insert: "records_modules", writeConcern: { getLastError: 1, w: 1 }, ordered: false, $db: "note" } ninserted:1 keysInserted:1 numYields:0 reslen:60 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 817515 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 820ms
2019-04-02T11:35:16.756+0800 I STORAGE  [conn10] createCollection: note.mvvm_modules with generated UUID: d1dfd978-9330-4eac-9bf5-0f33a6311bbe
2019-04-02T11:35:17.560+0800 I STORAGE  [conn8] createCollection: note.users with generated UUID: 21d9deac-fdbc-4b00-a0b1-d9749c24bfb0
2019-04-02T11:35:17.560+0800 I COMMAND  [conn10] command note.mvvm_modules command: create { create: "mvvm_modules", idIndex: { name: "_id_", ns: "note.mvvm_modules", key: { _id: 1 } }, $db: "note" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 789 } } } protocol:op_query 804ms
2019-04-02T11:35:18.342+0800 I STORAGE  [conn11] createCollection: note.canvas_modules with generated UUID: 41331dad-bda1-4abf-82c9-7bfab52b6d55
2019-04-02T11:35:18.342+0800 I COMMAND  [conn8] command note.users command: create { create: "users", idIndex: { name: "_id_", ns: "note.users", key: { _id: 1 } }, $db: "note" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 803647 } } } protocol:op_query 1585ms
2019-04-02T11:35:19.358+0800 I COMMAND  [conn11] command note.canvas_modules command: create { create: "canvas_modules", idIndex: { name: "_id_", ns: "note.canvas_modules", key: { _id: 1 } }, $db: "note" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 1584864 } } } protocol:op_query 2601ms
2019-04-02T11:35:19.358+0800 I STORAGE  [conn9] createCollection: note.iscroll_modules with generated UUID: 80e0c0a8-e8e1-4ef4-ab60-e829ea5ecafc
2019-04-02T11:35:20.128+0800 I COMMAND  [conn9] command note.iscroll_modules command: create { create: "iscroll_modules", idIndex: { name: "_id_", ns: "note.iscroll_modules", key: { _id: 1 } }, $db: "note" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 2601389 } } } protocol:op_query 3370ms
